project,description,url,test_flag,category,#stars,emcc build in wasm,gcc build in native binary,Result of cross-compilation with no change ,Can WasmChecker build the project? what is the result of differential testing?,Manually analyzed test results for WebAssembly,FP,Test results for Native binary,root cause,#executable tests,#test cases,LOC,How many build challenges?,How many build errors are addressed by WasmChecker,What is the build error
yaml-cpp,A YAML parser and emitter library,https://github.com/jbeder/yaml-cpp,YAML_CPP_BUILD_TESTS,"Data Parsing, Serialization, and Management",4.9k,Yes,Yes,1 tests failed out of 1,Y - 0 discrepancies,0 tests failed out of 1,0,0 tests failed out of 1,N/A,1,1001,96556,0,0,N/A
fmt,A modern formatting library,https://github.com/fmtlib/fmt,FMT_TEST,Utility and General Purpose,19.9k,Yes,Yes,16 tests failed out of 20,Y - 10 failed in wasm,10 tests failed out of 20,0,0 tests failed out of 20,"standard libraries (3), emcc bug (8), unsupported system calls and system level APIs (1)",20,522,59312,0,0,N/A
sqlpp11,A type safe SQL template library for C++,https://github.com/rbock/sqlpp11,BUILD_TESTING,"Data Parsing, Serialization, and Management",2.4k,Yes,Yes,1 tests failed out of 55,Y - 1 failed in wasm,1 tests failed out of 55,0,0 tests failed out of 55,standard libraries (1),55,55,42601,0,0,N/A
cpp-sort,A generic sorting library,https://github.com/Morwenn/cpp-sort,CPPSORT_BUILD_TESTING,Algorithm and Data Structure,610,Yes,Yes,53 tests failed out of 1231,Y - 0 discrepancies,0 tests failed out of 1231,0,0 tests failed out of 1231,N/A,1231,1231,61533,0,0,N/A
libtommath,A number theoretic multiple-precision integer (MPI) library,https://github.com/libtom/libtommath,BUILD_TESTING,"Mathematics, Graphics, ML, and Numerical Computations",639,Yes,Yes,0 tests failed out of 1,Y - 0 discrepancies,0 tests failed out of 1,0,0 tests failed out of 1,N/A,1,50,17028,0,0,N/A
libyaml,A YAML parser and emitter library,https://github.com/yaml/libyaml,BUILD_TESTING,"Data Parsing, Serialization, and Management",920,Yes,Yes,0 tests failed out of 2,Y - 0 discrepancies,0 tests failed out of 2,0,0 tests failed out of 2,N/A,2,5,13813,0,0,N/A
acl,An animation compression Library,https://github.com/nfrechette/acl,INCLUDE_UNIT_TESTS,Algorithm and Data Structure,1.3k,Yes,Yes,0 tests failed out of 49,Y - 0 discrepancies,0 tests failed out of 49,0,0 tests failed out of 49,N/A,49,49,247592,0,0,N/A
stduuid,A library for universally unique identifiers,https://github.com/mariusbancila/stduuid,UUID_BUILD_TESTS,Utility and General Purpose,718,Yes,Yes,0 tests failed out of 1,Y - 0 discrepancies,0 tests failed out of 1,0,0 tests failed out of 1,N/A,1,39,16996,0,0,N/A
dbg-macro,A macro for printf-style debugging fans,https://github.com/sharkdp/dbg-macro,DBG_MACRO_ENABLE_TESTS,Utility and General Purpose,2.9k,Yes,Yes,0 tests failed out of 19,Y - 0 discrepancies,0 tests failed out of 19,0,0 tests failed out of 19,N/A,19,19,41963,0,0,N/A
wavelib,"The C Implementation of Discrete Wavelet Transform (DWT,SWT and MODWT), Continuous Wavelet transform (CWT) and Discrete Packet Transform",https://github.com/rafat/wavelib,BUILD_UT,"Mathematics, Graphics, ML, and Numerical Computations",353,Yes,Yes,1 tests failed out of 1,Y - 0 discrepancies,0 tests failed out of 1,0,0 tests failed out of 1,N/A,1,13,13504,0,0,N/A
